[22/02/2021 21:28:07] INFO:timings_list.py:Produce the list of all the run times in the MySQL database
2021-02-18 04:43:16 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000041.gz                      |   356.75|   283.15|  3453.91|{"index": "000041", "cadence": 25, "size": 0.03115258834400635}
2021-02-18 04:45:05 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000042.gz                      |     0.03|     0.03|     0.03|{"index": "000042", "cadence": 25, "size": 0.03454277625887364}
2021-02-18 04:45:05 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000042.gz                      |     0.75|     0.72|     0.72|{"index": "000042", "cadence": 25, "size": 0.03454277625887364}
2021-02-18 04:45:06 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000042.gz                      |   832.26|   767.18|  3717.45|{"index": "000042", "cadence": 25, "size": 0.03454277625887364}
2021-02-18 04:46:20 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000043.gz                      |     0.04|     0.04|     0.04|{"index": "000043", "cadence": 25, "size": 0.038301902188495746}
2021-02-18 04:46:20 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000043.gz                      |     0.79|     0.75|     0.75|{"index": "000043", "cadence": 25, "size": 0.038301902188495746}
2021-02-18 04:46:21 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000043.gz                      |   429.54|   365.43|  3455.62|{"index": "000043", "cadence": 25, "size": 0.038301902188495746}
2021-02-18 04:46:49 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000044.gz                      |     0.04|     0.04|     0.04|{"index": "000044", "cadence": 25, "size": 0.04247011590101218}
2021-02-18 04:46:49 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000044.gz                      |     0.75|     0.72|     0.72|{"index": "000044", "cadence": 25, "size": 0.04247011590101218}
2021-02-18 04:46:50 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000044.gz                      |   382.21|   321.38|  3013.12|{"index": "000044", "cadence": 25, "size": 0.04247011590101218}
2021-02-18 04:49:14 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000045.gz                      |     0.04|     0.04|     0.04|{"index": "000045", "cadence": 25, "size": 0.047091936472731265}
2021-02-18 04:49:14 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000045.gz                      |     0.77|     0.73|     0.73|{"index": "000045", "cadence": 25, "size": 0.047091936472731265}
2021-02-18 04:49:15 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000045.gz                      |   247.47|   173.87|  3369.69|{"index": "000045", "cadence": 25, "size": 0.047091936472731265}
